Name,Legacy/M2M,Type,Zone,Region,State,Methasoft Version
Richmond Southside - Legacy,Legacy,Live,Treatment Titans,Mid-Atlantic Region,Virginia,8.1.3.0
Richmond Southside - M2M,M2M,Live,Treatment Titans,Mid-Atlantic Region,Virginia,8.1.3.0
Rochester - Legacy,Legacy,Live,Coast to Coasties,Mid-West Region,Minnesota,8.1.3.0
Rochester - M2M,M2M,Live,Coast to Coasties,Mid-West Region,Minnesota,8.1.3.0
Rockland - Legacy,Legacy,Live,Coast to Coasties,Northeast Region,Maine,8.1.3.0
Rockland - M2M,M2M,Live,Coast to Coasties,Northeast Region,Maine,8.1.3.0
San Antonio - Legacy,Legacy,Live,Treatment Titans,Gulf Region,Texas,8.1.3.0
San Antonio - M2M,M2M,Live,Treatment Titans,Gulf Region,Texas,8.1.3.0
Sarasota - Legacy,Legacy,Live,Coast to Coasties,Central Florida Region,Florida,8.1.3.0
Sarasota - M2M,M2M,Live,Coast to Coasties,Central Florida Region,Florida,8.1.3.0
Savannah - Legacy,Legacy,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Savannah - M2M,M2M,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Semoran - Legacy,Legacy,Live,Coast to Coasties,Keystone Region,Indiana,8.1.3.0
Semoran - M2M,M2M,Live,Coast to Coasties,Keystone Region,Indiana,8.1.3.0
St. Augustine - Legacy,Legacy,Live,Coast to Coasties,Mid Florida Region,Florida,8.1.3.0
St. Augustine - M2M,M2M,Live,Coast to Coasties,Mid Florida Region,Florida,8.1.3.0
St. Charles - Legacy,Legacy,Live,Coast to Coasties,Mid-West Region,Missouri,8.1.3.0
St. Charles - M2M,M2M,Live,Coast to Coasties,Mid-West Region,Missouri,8.1.3.0
St. Cloud - Legacy,Legacy,Live,Coast to Coasties,Mid-West Region,Minnesota,8.1.3.0
St. Cloud - M2M,M2M,Live,Coast to Coasties,Mid-West Region,Minnesota,8.1.3.0
St. George - Legacy,Legacy,Live,Coast to Coasties,West Region,Utah,8.1.3.0
St. George - M2M,M2M,Live,Coast to Coasties,West Region,Utah,8.1.3.0
St. Joseph - Legacy,Legacy,Live,Coast to Coasties,Mid-West Region,Missouri,8.1.3.0
St. Joseph - M2M,M2M,Live,Coast to Coasties,Mid-West Region,Missouri,8.1.3.0
St. Louis - Legacy,Legacy,Live,Coast to Coasties,Mid-West Region,Missouri,8.1.3.0
St. Louis - M2M,M2M,Live,Coast to Coasties,Mid-West Region,Missouri,8.1.3.0
St. Paul - Legacy,Legacy,Live,Coast to Coasties,Mid-West Region,Minnesota,8.1.3.0
St. Paul - M2M,M2M,Live,Coast to Coasties,Mid-West Region,Minnesota,8.1.3.0
St. Pete (Tarpon) - Legacy,Legacy,Live,Coast to Coasties,Central Florida Region,Florida,8.1.3.0
St. Pete (Tarpon) - M2M,M2M,Live,Coast to Coasties,Central Florida Region,Florida,8.1.3.0
Sunrise Metro - Legacy,Legacy,Live,Coast to Coasties,Mid Florida Region,Florida,8.1.3.0
Sunrise Metro - M2M,M2M,Live,Coast to Coasties,Mid Florida Region,Florida,8.1.3.0
Tampa Metro - Legacy,Legacy,Live,Coast to Coasties,Central Florida Region,Florida,8.1.3.0
Tampa Metro - M2M,M2M,Live,Coast to Coasties,Central Florida Region,Florida,8.1.3.0
Tampa North - M2M,M2M,Live,,,Florida,8.1.3.0
Tri County - Legacy,Legacy,Live,Treatment Titans,South Region,Alabama,8.1.3.0
Tri County - M2M,M2M,Live,Treatment Titans,South Region,Alabama,8.1.3.0
West Palm Beach - Legacy,Legacy,Live,Coast to Coasties,Central Florida Region,Florida,8.1.3.0
West Palm Beach - M2M,M2M,Live,Coast to Coasties,Central Florida Region,Florida,8.1.3.0
